NN	DGMS????????	الموضوع	المواطن
NN	DGFS????????	المسألة	المواطنة
NN	DGMP????????	المدنيين	المواطنين
NN	DGFP????????	الإجراءات	المواطنات
NN	CGMS????????	موضوع	مواطن
NN	DGMD????????	اليومين	المواطنين
NN	CGFS????????	مسألة	مواطنة
NN	CGFP????????	عمليات	مواطنات
NN	CGMP????????	مدنيي	مواطني
NN	IGMS????????	شئ	وطن
NN	IGFP????????	إجراءات	وطنيات
NN	IGFS????????	جهة	دولة
NN	IGMD????????	يومين	وطنيين
NN	IGMP????????	مدنيين	مواطنين
NN	CAMS????????	كل	توطين
NN	CAFS????????	قضية	مواطنة
NN	CAFP????????	حاجات	معلومات
NN	IAMS????????	شيئا	مواطنا
NN	IAFS????????	إدارة	معلومة
NN	IAFP????????	معلومات	محادثات
NN	DAMS????????	اليوم	الآن
NN	DAFS????????	العملية	الدولة
NN	DAFP????????	العمليات	المعلومات
NN	DAMP????????	المدنيين	المواطنين
NN	CNMS????????	وضع	موطن
NN	CNFS????????	عملية	دولة
NN	CNFP????????	عمليات	محادثات
NN	DNMS????????	الوضع	المواطن
NN	DNFS????????	الإدارة	الدولة
NN	DNFP????????	المعلومات	المحادثات
NN	DNMP????????	المدنيون	المواطنون
NN	INMS????????	شئ	وطن
NN	INFS????????	خطوة	دولة
NN	INFP????????	معلومات	محادثات
NN	INMP????????	مدنيون	مواطنون
PN	I?MS????????	محمد	أحمد
PN	D?MS????????	المحمد	الأحمد
PN	????????????	خ	ض
PN	IGMS????????	مصر	لبنان
PN	DGMS????????	المحمد	الأحمد
PN	CAMS????????	مصر	لبنان
PN	I?FS????????	فاطمة	مروة
PN	DGFS????????	الفاطمة	المروة
PN	CNMS????????	مصر	لبنان
PN	DNMS????????	المحمد	الأحمد
PN	D?FS????????	الفاطمة	المروة
PN	CGMS????????	مصر	مروة
PN	??MS?I3A????	محمد	أحمد
PN	DAMS????????	المحمد	الأحمد
PN	DNFS????????	الفاطمة	المروة
AJ	DGFS????????	القولية	الوطنية
AJ	DGMS????????	القولية	الوطني
AJ	IGFS????????	قولية	وطنية
AJ	IAMS????????	قوليا	وطنيا
AJ	DNMS????????	القولي	الوطني
AJ	IGMS????????	قولي	وطني
AJ	DNFS????????	القولية	الوطنية
AJ	DAMS????????	القولي	الوطني
AJ	D?MS????????	القولي	الوطني
AJ	IAFS????????	قولية	وطنية
AJ	DAFS????????	القولية	الوطنية
AJ	INFS????????	قولية	وطنية
AJ	INMS????????	قولي	وطني
AJ	DGMP????????	القوليين	الوطنيين
AJ	CAMS????????	أول	أكثر
AJ	CGMS????????	أول	أكثر
AJ	CNMS????????	أول	أكثر
AJ	INMP????????	قوليون	وطنيون
AJ	IAMP????????	قوليين	وطنيين
AJ	DAMP????????	القوليون	الوطنيون
AJ	IGMP????????	قوليين	وطنيين
AJ	DNMP????????	القوليون	الوطنيون
AJ	DGMD????????	القوليين	الوطنيين
VB	??MSPI3A????	قال	ذكر
VB	??MSII3A????	يقول	يذكر
VB	??FSPI3A????	قالت	ذكرت
VB	??FSII3A????	تقول	تذكر
VB	??MSIS3A????	يقول	يذكر
VB	??MPII3A????	يقولون	يذكرون
VB	??MPPI3A????	قالوا	ذكروا
VB	??FSIS3A????	تقول	تذكر
VB	??MPII1A????	نقول	نذكر
VB	??MSPI3P????	قيل	ذكر
VB	??MSII3P????	يقال	يذكر
VB	??FSPI3P????	قيلت	ذكرت
VB	??MSIJ3A????	يقل	يذكر
VB	??FSII3P????	تقال	تذكر
VB	??MSII1A????	أقول	أذكر
VB	??MPPI1A????	قلنا	ذكرنا
VB	??FSIJ3A????	تقل	تذكر
VB	??MPIS1A????	نقول	نذكر
VB	??MPI?3A????	يقولوا	يذكروا
VB	??MSPI1A????	قلت	ذكرت
VB	??MS?I3A????	يقول	يذكر
VB	??MDPI3A????	قالا	ذكرا
VB	??FS?I3A????	قالت	ذكرت
VB	??MPPI3P????	قيلوا	ذكروا
VB	??MSIS1A????	قل	اذكر
VB	??MDII3A????	يقولان	يذكران
VB	??MSIS3P????	يقال	يذكر
NM	???????????D	100
NM	CGMS???????W	عشر
NM	CGFS???????W	عشرة
NM	CAMS???????W	مائة
NM	????????????	10
NM	DGFS???????W	المائة
XX	????????????	مجهول
